id,display_title,main_artist,song_title,music8_artist_slug,music8_song_slug,spotify_artists,slug_candidates
e7e3d669-7db2-4686-9bdc-e95478c0a51d,Hotel Lobby - Quavo & Takeoff,Hotel Lobby,Quavo & Takeoff,,,"Quavo, Takeoff",hotel-lobby/quavo-takeoff; quavo/quavo-takeoff; takeoff/quavo-takeoff
3469d012-8a23-46d4-890e-dbdcd83162c2,iann dior - Goodbye,iann dior,Goodbye,iann-dior,goodbye-5,"Adekunle Gold, Fousheé",iann-dior/goodbye-5; adekunle-gold/goodbye-5; foushee/goodbye-5
c5dc9285-7bc6-4221-8c5e-f0ec2e726a8a,Ilkay Sencan - Talk,Ilkay Sencan,Talk,ilkay-sencan,talk-4,"IlkaySencan,INNA",ilkay-sencan/talk-4; ilkaysencan/talk-4
d0d0a5a8-3d73-4b54-9d13-e9f3f277ad3a,In The End [Official Hd Music Video] - Linkin Park,In The End [Official Hd Music Video],Linkin Park,,,"Linkin Park, Motion Man",in-the-end-official-hd-music-video/linkin-park; linkin-park/linkin-park; motion-man/linkin-park
34c009aa-41ab-460b-b53d-7aa04a88916b,james reid - Hello 2.0 Legends Only,james reid,Hello 2.0 Legends Only,james-reid,hello-2-0-legends-only,"James Reid, TransparentArts,JAYB,?ZI",james-reid/hello-2-0-legends-only; transparentarts/hello-2-0-legends-only
d025b8ba-815d-4be3-90f0-39a90561737a,Jasiah - Taking Over Me,Jasiah,Taking Over Me,jasiah,taking-over-me,"マギー・リンデマン, Jasiah",jasiah/taking-over-me
577bf4af-e77a-4503-9da1-ed679788a698,Jazzy - All This Time,Jazzy,All This Time,jazzy,all-this-time-4,"Sonny Fodera, Jazzy",jazzy/all-this-time-4; sonny-fodera/all-this-time-4
1d76a7b7-d690-4787-aa9d-04a36a9f46f2,Jeff Beck - Patient Number,Jeff Beck,Patient Number,jeff-beck,patient-number,"オジー・オズボーン, ジェフ・ベック",jeff-beck/patient-number
49c8ab58-bfa3-444c-8a11-d8ccd4620d80,Jim Yosef - Stamp On The Ground,Jim Yosef,Stamp On The Ground,jim-yosef,stamp-on-the-ground,"JimYosef,Scarlett",jim-yosef/stamp-on-the-ground; jimyosef/stamp-on-the-ground
feb13829-343c-4e4d-874b-e64cf905ba43,Jody Watley - Looking For A New Love,Jody Watley,Looking For A New Love,,,"Jody Watley, Louil Silas Jr.",jody-watley/looking-for-a-new-love; louil-silas-jr/looking-for-a-new-love
00d04245-21b2-4b0f-9b2e-5ed7266585da,Joe Jonas - Not Alone,Joe Jonas,Not Alone,joe-jonas,not-alone,"JoeJonas,Khalid",joe-jonas/not-alone; joejonas/not-alone
178be201-59ed-4a3e-bd94-3c5c15d239d1,JoJo - Bottomline,JoJo,Bottomline,jojo,bottomline-2,"Tori Kelly , JoJo",jojo/bottomline-2; tori-kelly/bottomline-2
1df48cd0-6270-423e-8c79-8b451c3db2b7,Kali Uchis - Is It A Crime,Kali Uchis,Is It A Crime,kali-uchis,is-it-a-crime-3,"Mariah the Scientist, Kali Uchis",kali-uchis/is-it-a-crime-3; mariah-the-scientist/is-it-a-crime-3
1bbbb8bb-2773-4f34-b2e1-d88798a157e3,Katy Perry - Dark Horse,Katy Perry,Dark Horse,,,"Katy Perry, Juicy J",katy-perry/dark-horse; juicy-j/dark-horse
c9364537-4df9-4180-b25f-bfb74687230e,Kehlani - Folded Remix,Kehlani,Folded Remix,kehlani,folded-remix,"Kehlani, Ne-Yo",kehlani/folded-remix; ne-yo/folded-remix
2fd8c655-8e37-471a-8cbd-3fee5018081a,KETTAMA - Fen Violet,KETTAMA,Fen Violet,kettama,fen-violet,"アンダーワールド, KETTAMA",kettama/fen-violet
33506c0d-5749-46fc-ad34-0c45a0324989,Kid Cudi - The Scotts,Kid Cudi,The Scotts,kid-cudi,the-scotts,"THE SCOTTS, トラヴィス・スコット, キッド・カディ",kid-cudi/the-scotts; scotts/the-scotts
748d0332-7c9d-480c-8c91-f38e5e2936db,Kygo - Save My Love,Kygo,Save My Love,,save-my-love-2,"Kygo, Khalid, Gryffin",kygo/save-my-love-2; khalid/save-my-love-2; gryffin/save-my-love-2
